"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Cassius Stanley","DET",9,155,315,52,15,29,0.5172413793103449,4,17,0.23529411764705882,0.23529411764705882,10,18,12,12,0,0.6,0.6,1,0.3695652173913043,0.48914782608695656,0.45652173913043476,0.52,0,2,0.06896551724137931,0,0,15.426997245179065
"Bruno Fernando","HOU",30,153,332,88,35,53,0.660377358490566,1,2,0.5,0.5,15,50,20,3,0,0.7142857142857143,0.8620689655172413,1,0.03636363636363636,0.5793345454545454,0.6636363636363637,0.6875,12,7,0.1320754716981132,0,0,20.207253886010363
"Theo Pinson","DAL",19,148,303,48,4,9,0.4444444444444444,10,30,0.3333333333333333,0.3333333333333333,10,2,6,27,3,0.25,0.25,0.9,0.7692307692307693,0.5157333333333334,0.48717948717948717,0.5581395348837209,0,0,0,0,0,14.328358208955224
"Abdel Nader","PHX",14,145,315,34,8,21,0.38095238095238093,4,14,0.2857142857142857,0.3076923076923077,6,8,8,12,0,0.5,0.6666666666666666,1,0.4,0.5720378787878788,0.4,0.425,4,2,0.09523809523809523,0,0,14.61318051575931
"Devin Cannady","ORL",5,145,294,50,0,7,0,15,37,0.40540540540540543,0.40540540540540543,5,0,0,45,0,0,0,1,0.8409090909090909,0.5369261363636363,0.5113636363636364,0.5319148936170213,0,1,0.14285714285714285,2,0.05405405405405406,15.902140672782874
"Solomon Hill","ATL",13,139,277,8,1,7,0.14285714285714285,2,13,0.15384615384615385,0.16666666666666666,0,2,0,6,0,1,1,1,0.65,0.5825210526315789,0.2,0.2,0,1,0.14285714285714285,0,0,6.666666666666667
"Xavier Moon","LAC",10,137,289,58,20,37,0.5405405405405406,5,14,0.35714285714285715,0.35714285714285715,3,6,34,9,6,0.15,0.15789473684210525,0.6,0.27450980392156865,0.46986470588235296,0.5392156862745098,0.5471698113207547,2,3,0.08108108108108109,0,0,18.098159509202453
"Jahmi'us Ramsey","SAC",19,134,279,60,19,40,0.475,5,18,0.2777777777777778,0.2777777777777778,7,22,16,12,3,0.5789473684210527,0.6111111111111112,0.8,0.3103448275862069,0.5359275862068965,0.45689655172413796,0.46153846153846156,2,3,0.075,0,0,21.604938271604937
"Didi Louzada","POR",9,129,265,35,3,10,0.3,9,23,0.391304347826087,0.391304347826087,2,2,4,27,0,0.3333333333333333,0.5,1,0.696969696969697,0.4978515151515151,0.5,0.5147058823529411,2,3,0.3,0,0,13.356164383561644
"Marcus Garrett","MIA",12,128,247,13,4,17,0.23529411764705882,1,4,0.25,0.25,2,4,4,3,0,0.5,0.5,1,0.19047619047619047,0.510497619047619,0.2619047619047619,0.2826086956521739,0,3,0.17647058823529413,0,0,8.8339222614841
