"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Jae Crowder","MIL",18,340,12,1,5,1,0,0,1,0.05102040816326531,0.11627906976744186,0
"Derrick Rose","NYK",27,338,12,1,6,1,0,0,0,0.036585365853658534,0.0594059405940594,0
"McKinley Wright IV","DAL",27,335,19,0,7,5,0,0,5,0.07,0.09722222222222222,0
"Theo Pinson","DAL",40,323,13,0,3,1,0,0,4,0.033707865168539325,0.1111111111111111,0
"Julian Champagnie","SAS",17,320,17,1,7,4,2,1,1,0.06716417910447761,0.13725490196078433,0.024096385542168676
"Matt Ryan","MIN",34,310,12,0,2,0,2,0,1,0.03571428571428571,0.07692307692307693,0.023255813953488372
"Robin Lopez","CLE",37,299,18,0,8,4,0,0,3,0.10126582278481013,0.10666666666666667,0
"Moses Brown","BKN",36,294,72,0,29,8,0,0,11,0.24786324786324787,0.24786324786324787,0
"Nathan Knight","MIN",38,291,57,0,30,5,0,0,1,0.2830188679245283,0.35714285714285715,0
"Kennedy Chandler","MEM",36,281,13,0,6,2,0,0,2,0.06896551724137931,0.08333333333333333,0
"Dalano Banton","TOR",31,279,24,0,11,2,0,0,2,0.07913669064748201,0.125,0
"Trent Forrest","ATL",23,277,3,0,2,1,0,0,0,0.03278688524590164,0.03389830508474576,0
"Bryn Forbes","MIN",25,268,15,0,7,2,1,0,0,0.0898876404494382,0.16666666666666666,0.02127659574468085
"Terry Taylor","CHI",31,263,11,0,6,1,0,0,0,0.075,0.09836065573770492,0
"Jeff Dowtin Jr.","TOR",25,259,9,0,3,2,1,0,1,0.06779661016949153,0.07142857142857142,0.058823529411764705
"Brandon Boston Jr.","LAC",22,248,38,2,16,6,0,0,5,0.12121212121212122,0.1553398058252427,0
