"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","UnblockedAtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","UnblockedShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","UnblockedLongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","UnblockedCorner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","UnblockedArc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"Paul Reed","DET",45,436,0.5417035714285714,0.6549295774647887,5.723684210526316,25.385714285714283,45,65,0.45774647887323944,0.6923076923076923,0.75,0.5777777777777777,0.07692307692307693,12,37,0.2605633802816901,0.32432432432432434,0.34285714285714286,0.9166666666666666,0.05405405405405406,7,12,0.08450704225352113,0.5833333333333334,0.5833333333333334,1,0,1,5,0.035211267605633804,0.2,0.2,1,0,7,23,0.1619718309859155,0.30434782608695654,0.30434782608695654,1,0,7,23,0.30434782608695654,0,0
"Colin Castleton","TOR",26,432,0.539194387755102,0.5612244897959183,4.732926829268292,24.075000000000003,27,39,0.3979591836734694,0.6923076923076923,0.7941176470588235,0.5555555555555556,0.1282051282051282,17,42,0.42857142857142855,0.40476190476190477,0.4857142857142857,0.8823529411764706,0.16666666666666666,0,1,0.01020408163265306,0,0,0,0,2,11,0.11224489795918367,0.18181818181818182,0.18181818181818182,1,0,0,5,0.05102040816326531,0,0,0,0,0,5,0,0,0
"Trevelin Queen","ORL",31,430,0.5410713286713287,0.8367346938775511,4.472857142857143,26.93896103896104,27,46,0.3129251700680272,0.5869565217391305,0.6585365853658537,0.6666666666666666,0.10869565217391304,6,20,0.1360544217687075,0.3,0.4,0.3333333333333333,0.25,1,4,0.027210884353741496,0.25,0.25,0,0,8,19,0.1292517006802721,0.42105263157894735,0.42105263157894735,0.875,0,14,58,0.3945578231292517,0.2413793103448276,0.24561403508771928,0.7857142857142857,0.017241379310344827,14,54,0.25925925925925924,4,0
"Malaki Branham","SAS",47,427,0.5341005319148936,0.6631578947368421,7.323584905660377,25.310714285714283,32,42,0.22105263157894736,0.7619047619047619,0.8648648648648649,0.5,0.11904761904761904,13,41,0.21578947368421053,0.3170731707317073,0.38235294117647056,0.5384615384615384,0.17073170731707318,8,23,0.12105263157894737,0.34782608695652173,0.34782608695652173,0.5,0,8,17,0.08947368421052632,0.47058823529411764,0.47058823529411764,1,0,26,67,0.3526315789473684,0.3880597014925373,0.3939393939393939,0.9230769230769231,0.014925373134328358,26,67,0.3880597014925373,0,0
"Jordan Miller","LAC",37,420,0.540564552238806,0.7164179104477612,4.3500000000000005,25.05,33,58,0.43283582089552236,0.5689655172413793,0.6470588235294118,0.45454545454545453,0.1206896551724138,15,34,0.2537313432835821,0.4411764705882353,0.5172413793103449,0.5333333333333333,0.14705882352941177,2,4,0.029850746268656716,0.5,0.5,0.5,0,2,13,0.09701492537313433,0.15384615384615385,0.15384615384615385,1,0,6,25,0.1865671641791045,0.24,0.24,1,0,6,25,0.24,0,0
"Mo Bamba","NOP",32,413,0.5577129464285714,0.8125,3.9224137931034484,25.057407407407407,28,37,0.33035714285714285,0.7567567567567568,0.8,0.5357142857142857,0.05405405405405406,7,18,0.16071428571428573,0.3888888888888889,0.4375,1,0.1111111111111111,2,3,0.026785714285714284,0.6666666666666666,0.6666666666666666,1,0,5,19,0.16964285714285715,0.2631578947368421,0.2631578947368421,1,0,10,35,0.3125,0.2857142857142857,0.30303030303030304,1,0.05714285714285714,10,35,0.2857142857142857,0,0
"David Roddy","HOU",33,410,0.5409658536585366,0.736,4.714062500000001,25.832786885245905,20,31,0.248,0.6451612903225806,0.6896551724137931,0.75,0.06451612903225806,18,32,0.256,0.5625,0.6923076923076923,0.7222222222222222,0.1875,0,1,0.008,0,0,0,0,7,17,0.136,0.4117647058823529,0.4375,0.8571428571428571,0.058823529411764705,12,44,0.352,0.2727272727272727,0.2727272727272727,0.8333333333333334,0,12,44,0.2727272727272727,0,0
"Taj Gibson","CHA",37,409,0.5600563157894737,0.6526315789473685,4.712903225806452,23.35,33,60,0.631578947368421,0.55,0.6470588235294118,0.5757575757575758,0.15,10,24,0.25263157894736843,0.4166666666666667,0.47619047619047616,0.7,0.125,3,9,0.09473684210526316,0.3333333333333333,0.3333333333333333,1,0,1,2,0.021052631578947368,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ousmane Dieng","OKC",37,405,0.5663504,0.8,5.235185185185185,25.225352112676056,19,29,0.232,0.6551724137931034,0.7916666666666666,0.7368421052631579,0.1724137931034483,9,18,0.144,0.5,0.5294117647058824,0.6666666666666666,0.05555555555555555,3,7,0.056,0.42857142857142855,0.42857142857142855,1,0,7,22,0.176,0.3181818181818182,0.3181818181818182,1,0,16,49,0.392,0.32653061224489793,0.32653061224489793,0.875,0,16,49,0.32653061224489793,0,0
"Jordan Walsh","BOS",52,403,0.5517686746987952,0.8795180722891566,3.039285714285714,25.154545454545456,12,18,0.21686746987951808,0.6666666666666666,0.6666666666666666,0.4166666666666667,0,3,10,0.12048192771084337,0.3,0.42857142857142855,0.6666666666666666,0.3,0,0,0,0,0,0,0,6,24,0.2891566265060241,0.25,0.25,1,0,9,31,0.37349397590361444,0.2903225806451613,0.2903225806451613,1,0,9,31,0.2903225806451613,0,0
