"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Alec Peters","PHX",20,225,4,4,0,1,1,0,3,0,0,0,0,0
"Marcus Georges-Hunt","MIN",42,224,3,1,2,0.3333333333333333,1,1,0,0,0,0,0,0
"Gary Payton II","LAL",23,221,7,2,5,0.2857142857142857,0,2,2,2,0,0,1,0
"Andrew Bogut","LAL",23,216,19,5,14,0.2631578947368421,1,0,4,5,0,0,0,0
"Josh Magette","ATL",18,216,9,5,4,0.5555555555555556,2,2,3,2,0,0,0,0
"Ante Zizic","CLE",32,214,11,5,6,0.45454545454545453,3,0,2,1,3,0,0,0
"Rashad Vaughn","ORL",28,212,6,3,3,0.5,1,0,2,2,1,0,0,0
"Kawhi Leonard","SAS",9,210,16,10,6,0.625,1,1,9,2,0,0,0,0
"Andrew White III","ATL",15,209,8,7,1,0.875,5,0,2,0,0,0,0,0
"Brandon Jennings","MIL",14,205,18,11,7,0.6111111111111112,1,2,10,4,0,0,0,0
"Quincy Pondexter","CHI",23,196,11,7,4,0.6363636363636364,0,1,7,2,1,0,0,0
"MarShon Brooks","MEM",7,193,16,8,8,0.5,2,0,6,3,1,0,1,0
"Aaron Brooks","MIN",32,189,11,6,5,0.5454545454545454,1,2,5,2,1,0,0,0
"Caleb Swanigan","POR",27,189,18,7,11,0.3888888888888889,5,2,2,0,3,1,1,0
"Solomon Hill","NOP",12,187,9,3,6,0.3333333333333333,1,1,2,3,0,1,0,0
"Omer Asik","CHI",18,182,9,5,4,0.5555555555555556,1,1,4,0,0,1,0,0
"Jalen Jones","DAL",15,181,7,2,5,0.2857142857142857,1,2,1,0,1,0,0,0
"Isaiah Whitehead","BKN",16,180,23,15,8,0.6521739130434783,7,0,8,3,2,0,1,0
"Johnathan Motley","DAL",11,176,9,4,5,0.4444444444444444,3,0,1,1,1,1,0,0
"Julyan Stone","CHA",23,175,7,3,4,0.42857142857142855,0,1,3,1,0,0,2,0
"John Holland","CLE",24,174,8,4,4,0.5,0,0,4,1,2,0,1,0
"Richard Jefferson","DEN",20,163,5,3,2,0.6,0,0,3,2,0,0,0,0
"Dakari Johnson","OKC",31,161,3,0,3,0,0,0,0,1,0,0,0,0
"Jake Layman","POR",34,160,5,5,0,1,2,0,3,0,0,0,0,0
"Mirza Teletovic","MIL",10,159,7,5,2,0.7142857142857143,1,0,4,1,0,0,1,0
"Damien Wilkins","IND",19,152,5,3,2,0.6,0,1,3,0,0,0,1,0
"Derrick Walton Jr.","MIA",16,147,2,1,1,0.5,0,0,1,1,0,0,0,0
"Darrell Arthur","DEN",19,141,15,4,11,0.26666666666666666,3,0,1,4,1,1,1,0
"Kay Felder","DET",16,140,16,11,5,0.6875,1,0,10,3,2,0,0,0
"Derrick White","SAS",17,139,6,5,1,0.8333333333333334,3,0,2,1,0,0,0,0
"Lorenzo Brown","TOR",14,139,3,1,2,0.3333333333333333,1,0,0,1,0,0,1,0
"Jon Leuer","DET",8,136,7,2,5,0.2857142857142857,1,1,1,1,0,0,0,0
"Malcolm Miller","TOR",15,126,5,2,3,0.4,1,0,1,1,0,0,1,0
"Milton Doyle","BKN",10,125,2,1,1,0.5,0,1,1,0,0,0,0,0
"Zhou Qi","HOU",18,124,10,5,5,0.5,4,1,1,1,1,0,1,0
"Antonius Cleveland","ATL",17,122,7,3,4,0.42857142857142855,1,0,2,0,2,0,2,0
"Nigel Hayes","SAC",9,122,2,2,0,1,1,0,1,0,0,0,0,0
"Georgios Papagiannis","POR",17,122,8,2,6,0.25,2,0,0,1,0,2,1,0
"James Webb III","BKN",10,120,4,2,2,0.5,0,0,2,1,0,0,0,0
"Xavier Rathan-Mayes","MEM",5,118,11,7,4,0.6363636363636364,1,0,6,3,0,0,1,0
"Bobby Brown","HOU",20,115,9,6,3,0.6666666666666666,2,2,4,0,1,0,0,0
"Jabari Bird","BOS",13,115,8,6,2,0.75,3,0,3,1,1,0,0,0
"Kadeem Allen","BOS",18,107,9,6,3,0.6666666666666666,1,0,5,0,0,0,0,0
"Bruno Caboclo","SAC",12,106,4,4,0,1,0,0,4,0,0,0,0,0
"Alex Poythress","IND",25,104,2,1,1,0.5,0,0,1,0,0,0,0,0
"Jaylen Morris","ATL",6,98,6,4,2,0.6666666666666666,0,0,4,1,1,0,0,0
"Brice Johnson","MEM",18,98,5,2,3,0.4,1,0,1,1,1,0,0,0
"Darrun Hilliard","SAS",14,95,4,1,3,0.25,1,0,0,0,2,0,0,0
"Chris McCullough","WAS",19,90,2,2,0,1,1,0,1,0,0,0,0,0
"Damian Jones","GSW",15,89,4,1,3,0.25,1,0,0,0,1,0,0,0
"Jack Cooley","SAC",7,87,3,0,3,0,0,0,0,1,0,0,0,1
"Josh Gray","PHX",5,86,7,6,1,0.8571428571428571,1,1,5,0,0,0,0,0
"Wade Baldwin IV","POR",7,80,4,0,4,0,0,1,0,0,2,0,0,0
"Demetrius Jackson","PHI",15,80,10,6,4,0.6,2,1,4,2,1,0,0,0
"Furkan Korkmaz","PHI",14,80,2,1,1,0.5,1,0,0,0,1,0,0,0
"Okaro White","MIA",6,80,1,1,0,1,0,0,1,0,0,0,0,0
"Omari Johnson","MEM",4,75,3,1,2,0.3333333333333333,0,0,1,2,0,0,0,0
"Nick Collison","OKC",15,75,7,0,7,0,0,0,0,3,1,0,0,1
"Marquis Teague","MEM",3,74,3,1,2,0.3333333333333333,0,1,1,0,1,0,0,0
"Thomas Bryant","LAL",15,72,2,0,2,0,0,0,0,0,0,0,0,0
"Udonis Haslem","MIA",14,72,2,1,1,0.5,1,1,0,0,0,0,0,0
"D.J. Wilson","MIL",22,71,4,2,2,0.5,1,0,1,0,2,0,0,0
"Alan Williams","PHX",5,70,7,3,4,0.42857142857142855,0,0,3,2,0,1,0,0
"Larry Drew II","NOP",10,70,3,2,1,0.6666666666666666,0,0,2,1,0,0,0,0
"London Perrantes","CLE",14,66,1,0,1,0,0,1,0,0,0,0,0,0
"Andre Ingram","LAL",2,64,3,1,2,0.3333333333333333,0,0,1,1,0,0,0,0
"Gian Clavell","DAL",7,64,2,2,0,1,0,0,2,0,0,0,0,0
"James Young","PHI",6,61,1,1,0,1,0,0,1,0,0,0,0,0
"Kyle Singler","OKC",12,59,3,2,1,0.6666666666666666,2,0,0,0,1,0,0,0
"Alfonzo McKinnie","TOR",14,53,3,2,1,0.6666666666666666,0,0,2,0,0,0,0,0
"Jordan Crawford","NOP",5,53,5,3,2,0.6,3,1,0,1,0,0,0,0
"Marshall Plumlee","MIL",8,52,3,2,1,0.6666666666666666,2,0,0,0,1,0,0,0
"Cole Aldrich","MIN",21,49,1,0,1,0,0,0,0,0,0,0,0,0
"RJ Hunter","HOU",5,45,2,1,1,0.5,0,0,1,0,0,0,0,0
"Vander Blue","LAL",5,45,3,1,2,0.3333333333333333,1,0,0,1,1,0,0,0
"Adreian Payne","ORL",5,43,2,1,1,0.5,0,0,1,0,0,0,0,0
"Joakim Noah","NYK",7,40,4,1,3,0.25,0,0,1,2,0,0,0,0
"Jonathan Gibson","BOS",4,40,3,2,1,0.6666666666666666,1,0,1,0,1,0,0,0
"Jeff Withey","DAL",9,39,2,1,1,0.5,0,0,1,1,0,0,0,0
"Charles Cooke","NOP",13,38,1,0,1,0,0,0,0,0,1,0,0,0
"Joel Bolomboy","MIL",6,38,2,1,1,0.5,1,0,0,0,1,0,0,0
"Walter Lemon Jr.","NOP",5,35,4,1,3,0.25,0,0,1,0,2,0,0,0
"Aaron Jackson","HOU",1,34,1,0,1,0,0,1,0,0,0,0,0,0
"Jacob Wiley","BKN",5,33,0,0,0,0,0,0,0,0,0,0,0,0
"Matt Costello","SAS",4,32,1,1,0,1,1,0,0,0,0,0,0,0
"Georges Niang","UTA",9,32,3,2,1,0.6666666666666666,0,0,2,0,0,0,1,0
"Markel Brown","HOU",4,31,2,2,0,1,0,0,2,0,0,0,0,0
"Ike Anigbogu","IND",11,30,2,2,0,1,1,0,1,0,0,0,0,0
"Tony Bradley","UTA",9,29,0,0,0,0,0,0,0,0,0,0,0,0
