"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Isaiah Collier","UTA",71,1839,446,1104,234,212,117,105,12,73,139
"Keldon Johnson","SAS",77,1838,125,311,64,61,57,6,1,25,36
"Royce O'Neale","PHX",75,1837,163,406,83,80,42,24,17,29,51
"P.J. Washington","DAL",57,1835,131,320,73,58,55,12,6,20,38
"CJ McCollum","NOP",56,1832,227,538,143,84,100,36,7,36,48
"Dorian Finney-Smith","LAL",63,1821,90,230,40,50,21,13,6,12,38
"Haywood Highsmith","MIA",74,1818,112,273,63,49,43,17,3,13,36
"Alex Sarr","WAS",67,1814,161,385,98,63,63,24,11,8,55
"Kyrie Irving","DAL",50,1804,231,541,152,79,93,49,10,19,60
"Kyshawn George","WAS",68,1802,169,415,92,77,64,21,7,12,65
"Cameron Johnson","BKN",57,1800,193,479,100,93,66,32,2,38,55
"Duncan Robinson","MIA",74,1786,176,409,119,57,64,50,5,32,25
"Kris Dunn","LAC",74,1783,210,513,117,93,71,41,5,35,58
"Luka Dončić","LAL",50,1769,383,927,222,161,172,41,9,70,91
"Scoot Henderson","POR",66,1759,335,805,200,135,142,36,22,37,98
"Wendell Carter Jr.","ORL",68,1758,134,317,85,49,51,19,15,19,30
"Collin Sexton","UTA",63,1758,263,644,145,118,77,57,11,35,83
"Mike Conley","MIN",71,1756,319,760,197,122,128,60,9,32,90
"Amir Coffey","LAC",72,1748,77,188,43,34,25,13,5,12,22
"Jimmy Butler","GSW",55,1746,298,780,114,184,67,38,9,71,113
"Aaron Wiggins","OKC",76,1744,134,332,70,64,47,19,4,16,48
"Walker Kessler","UTA",58,1740,97,243,48,49,20,25,3,19,30
"De'Andre Hunter","CLE",64,1740,92,223,53,39,32,20,1,10,29
"Ochai Agbaji","TOR",64,1739,98,240,54,44,33,15,6,19,25
"Brandin Podziemski","GSW",64,1716,220,549,111,109,72,31,8,37,72
"Jabari Smith Jr.","HOU",57,1716,60,150,30,30,20,8,2,5,25
"Anthony Davis","DAL",51,1706,181,433,110,71,72,26,12,17,54
"Bradley Beal","PHX",53,1702,195,474,111,84,52,37,22,32,52
"Georges Niang","ATL",79,1697,111,270,63,48,42,20,1,19,29
