"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Devonte' Graham","NOP",76,2162,316,741,207,109,120,63,24,31,78
"Tyler Herro","MIA",66,2151,263,632,157,106,116,31,10,48,58
"CJ McCollum","NOP",62,2145,315,748,197,118,125,56,16,35,83
"Khris Middleton","MIL",66,2141,358,842,232,126,176,41,15,41,85
"Jordan Clarkson","UTA",79,2141,194,476,106,88,83,19,4,38,50
"Chris Paul","PHX",65,2139,702,1601,505,197,260,186,59,53,144
"Malik Monk","LAL",76,2139,218,518,136,82,107,20,9,29,53
"Jalen Green","HOU",67,2138,176,421,107,69,90,14,3,14,55
"Domantas Sabonis","SAC",62,2136,323,796,173,150,110,27,36,35,115
"Seth Curry","BKN",64,2134,230,547,143,87,86,37,20,28,59
"Kyle Lowry","MIA",63,2133,474,1126,296,178,189,78,29,81,97
"Bojan Bogdanovic","UTA",69,2131,120,306,54,66,38,15,1,24,42
"Jaren Jackson Jr.","MEM",78,2126,86,206,52,34,30,14,8,11,23
"Rudy Gobert","UTA",66,2120,72,185,31,41,16,13,2,13,28
"Ayo Dosunmu","CHI",77,2110,256,578,190,66,116,44,30,21,45
"Christian Wood","HOU",68,2094,155,376,89,66,73,13,3,19,47
"Cade Cunningham","DET",64,2088,356,837,231,125,179,36,16,44,81
"LeBron James","LAL",56,2084,349,843,204,145,163,29,12,52,93
"De'Aaron Fox","SAC",59,2084,330,785,205,125,141,51,13,31,94
"D'Angelo Russell","MIN",65,2077,460,1096,284,176,212,56,16,37,139
"Davion Mitchell","SAC",75,2076,313,759,180,133,116,53,11,43,90
"Cole Anthony","ORL",65,2059,369,902,205,164,127,58,20,40,124
"Mike Conley","UTA",72,2058,385,923,232,153,178,51,3,37,116
"Justin Holiday","SAC",74,2057,128,295,89,39,66,18,5,15,24
"Jae'Sean Tate","HOU",78,2056,222,564,102,120,82,17,3,24,96
"Kevin Durant","BKN",55,2047,351,815,238,113,161,54,23,40,73
"Duncan Robinson","MIA",79,2043,129,303,84,45,48,29,7,17,28
"Clint Capela","ATL",74,2042,92,222,54,38,24,19,11,12,26
"Bobby Portis","MIL",72,2028,86,222,36,50,24,9,3,18,32
"Al Horford","BOS",69,2005,232,544,152,80,96,39,17,22,58
"Kelly Oubre Jr.","CHA",76,1999,84,198,54,30,37,11,6,13,17
"Steven Adams","MEM",76,1999,256,569,199,57,107,63,29,12,45
"Deni Avdija","WAS",82,1984,167,387,114,53,84,19,11,22,31
"P.J. Tucker","MIA",71,1981,149,383,64,85,45,14,5,25,60
"Isaac Okoro","CLE",67,1981,121,301,62,59,38,19,5,14,45
"Spencer Dinwiddie","DAL",67,1980,346,824,214,132,141,53,20,47,85
"Malik Beasley","MIN",79,1976,116,289,59,57,42,11,6,22,35
"Jakob Poeltl","SAS",68,1970,189,446,121,68,59,41,21,13,55
"Shai Gilgeous-Alexander","OKC",56,1942,331,806,187,144,109,64,14,33,111
"Robert Covington","LAC",71,1939,92,229,47,45,30,13,4,12,33
"Devin Vassell","SAS",71,1937,136,335,73,63,39,27,7,22,41
"Jimmy Butler","MIA",57,1931,312,786,150,162,87,49,14,71,91
"Darius Bazley","OKC",69,1924,97,246,45,52,32,11,2,10,42
"Luke Kennard","LAC",70,1919,146,353,85,61,58,22,5,24,37
"Kevin Porter Jr.","HOU",61,1907,376,922,206,170,166,30,10,32,138
"Reggie Bullock","DAL",68,1902,83,200,49,34,28,15,6,19,15
"Ja Morant","MEM",57,1889,384,906,246,138,162,64,20,48,90
"Jae Crowder","PHX",67,1886,124,294,78,46,35,29,14,19,27
"Jarred Vanderbilt","MIN",74,1880,94,238,44,50,32,9,3,17,33
"Lauri Markkanen","CLE",61,1878,81,190,53,28,29,18,6,13,15
"Grant Williams","BOS",77,1875,78,196,38,40,17,11,10,16,24
"Brandon Ingram","NOP",55,1869,307,751,170,137,115,42,13,41,96
"Cody Martin","CHA",71,1866,179,437,100,79,81,11,8,27,52
"Ivica Zubac","LAC",76,1852,120,288,72,48,31,21,20,17,31
"Wendell Carter Jr.","ORL",62,1852,171,414,99,72,58,26,15,20,52
"Jeff Green","DEN",75,1849,96,225,63,33,36,15,12,10,23
"Bogdan Bogdanovic","ATL",63,1848,194,452,130,64,80,43,7,28,36
"Mitchell Robinson","NYK",72,1848,38,98,16,22,14,1,1,6,16
"Dennis Schroder","HOU",64,1837,296,720,168,128,101,48,19,38,90
"Bam Adebayo","MIA",56,1825,190,480,90,100,60,23,7,28,72
"Mo Bamba","ORL",71,1824,85,206,49,36,30,11,8,7,29
"Isaiah Stewart","DET",71,1816,82,202,44,38,17,13,14,2,36
"Jarrett Allen","CLE",56,1810,92,219,57,35,42,12,3,6,29
"Grayson Allen","MIL",66,1805,100,242,58,42,40,14,4,20,22
"Robert Williams III","BOS",61,1804,121,302,61,60,35,14,12,15,45
"Jaden McDaniels","MIN",70,1803,79,191,46,33,36,9,1,13,20
"Immanuel Quickley","NYK",78,1802,275,656,169,106,127,27,15,44,62
"Corey Kispert","WAS",77,1801,85,198,57,28,34,10,13,6,22
"Dwight Powell","DAL",82,1798,97,232,59,38,20,16,23,12,26
"Carmelo Anthony","LAL",69,1793,68,167,37,31,26,6,5,14,17
"Mason Plumlee","CHA",73,1793,226,553,125,101,84,24,17,37,64
"Josh Hart","POR",54,1791,224,534,138,86,81,32,25,26,60
"Caris LeVert","CLE",58,1780,248,602,142,106,111,15,16,27,79
"Bruce Brown","BKN",72,1774,148,364,80,68,47,17,16,22,46
"P.J. Washington","CHA",65,1768,147,365,76,71,56,17,3,26,45
"Chuma Okeke","ORL",70,1749,118,290,64,54,51,11,2,18,36
"Georges Niang","PHI",76,1736,102,237,69,33,45,14,10,17,16
"Kevon Looney","GSW",82,1732,165,400,95,70,41,29,25,13,57
"Gary Harris","ORL",61,1730,108,264,60,48,36,17,7,15,33
"Cameron Johnson","PHX",66,1730,99,232,65,34,31,29,5,12,22
"OG Anunoby","TOR",48,1728,125,309,66,59,42,17,7,29,30
"Precious Achiuwa","TOR",73,1725,82,200,46,36,31,7,8,16,20
"Deandre Ayton","PHX",58,1713,84,210,42,42,6,18,18,10,32
"Garrison Mathews","HOU",65,1712,64,154,38,26,33,4,1,6,20
"Josh Giddey","OKC",54,1700,345,823,212,133,137,58,17,44,89
"Pat Connaughton","MIL",65,1691,82,202,44,38,24,14,6,16,22
"Chris Boucher","TOR",80,1690,25,64,11,14,7,1,3,4,10
"Matisse Thybulle","PHI",66,1685,75,182,43,32,28,11,4,9,23
"Anfernee Simons","POR",57,1681,221,539,124,97,79,32,13,33,64
"Coby White","CHI",61,1675,176,401,127,49,68,31,28,26,23
"Danilo Gallinari","ATL",66,1672,101,241,62,39,37,18,7,13,26
"Eric Gordon","HOU",57,1670,154,378,84,70,67,17,0,20,50
"Luguentz Dort","OKC",51,1665,88,217,47,41,25,19,3,14,27
"Kevin Love","CLE",74,1665,160,368,112,48,80,25,7,16,32
"John Collins","ATL",54,1663,98,224,70,28,49,17,4,4,24
"De'Anthony Melton","MEM",73,1657,194,457,125,69,76,38,11,20,49
"Kenyon Martin Jr.","HOU",79,1656,101,258,45,56,34,9,2,15,41
"Killian Hayes","DET",66,1647,277,665,166,111,111,40,15,41,70
"Montrezl Harrell","CHA",71,1640,145,337,98,47,57,28,13,11,36
"Lonnie Walker IV","SAS",70,1612,152,363,93,59,59,24,10,16,43
"Cory Joseph","DET",65,1600,237,588,123,114,73,26,24,38,76
"Josh Richardson","SAS",65,1600,115,275,70,45,36,27,7,10,35
"Torrey Craig","PHX",78,1596,91,223,50,41,30,14,6,17,24
"Gabe Vincent","MIA",68,1589,210,519,111,99,68,29,14,42,57
"Max Strus","MIA",68,1587,92,223,53,39,27,21,5,17,22
"Jusuf Nurkic","POR",56,1579,157,393,78,79,43,17,18,17,62
"De'Andre Hunter","ATL",53,1577,68,173,31,37,15,9,7,15,22
"Amir Coffey","LAC",69,1567,124,307,65,59,33,23,9,19,40
"Marcus Morris Sr.","LAC",54,1564,113,284,55,58,36,16,3,24,34
"Oshae Brissett","IND",67,1564,72,181,35,37,22,7,6,13,24
"Gordon Hayward","CHA",49,1564,177,445,86,91,69,16,1,27,64
"Tyus Jones","MEM",73,1549,324,792,180,144,95,68,17,47,97
"Chris Duarte","IND",55,1541,114,265,77,37,57,17,3,11,26
"Trey Lyles","SAC",75,1536,88,217,47,41,32,10,5,11,30
"Javonte Green","CHI",65,1519,60,143,37,23,26,7,4,13,10
"Talen Horton-Tucker","LAL",60,1511,159,386,91,68,69,11,11,25,43
"Jerami Grant","DET",47,1500,111,280,53,58,29,10,14,23,35
"Alperen Sengun","HOU",72,1489,185,453,102,83,83,15,4,17,66
"Kyle Anderson","MEM",69,1484,183,440,109,74,73,29,7,18,56
"Kristaps Porzingis","WAS",51,1481,119,278,79,40,42,19,18,13,27
"Austin Rivers","DEN",67,1480,90,232,38,52,18,15,5,15,37
"Patrick Beverley","MIN",58,1476,268,648,156,112,107,32,17,32,80
"Nickeil Alexander-Walker","UTA",65,1466,156,373,95,61,67,18,10,24,37
"Nicolas Batum","LAC",59,1462,100,236,64,36,36,17,11,14,22
"Cedi Osman","CLE",66,1462,135,330,75,60,53,16,6,21,39
"Norman Powell","LAC",45,1458,96,233,55,41,38,13,4,9,32
"Delon Wright","ATL",77,1452,188,476,88,100,42,31,15,30,70
"Maxi Kleber","DAL",59,1450,68,172,32,36,11,16,5,16,20
"Terrence Ross","ORL",63,1448,116,273,75,41,57,15,3,14,27
"Daniel Gafford","WAS",72,1444,68,166,38,30,16,13,9,7,23
"Bradley Beal","WAS",40,1439,265,623,172,93,117,41,14,43,50
"Landry Shamet","PHX",69,1437,108,248,76,32,38,34,4,9,23
"Andre Drummond","BKN",73,1437,131,315,78,53,46,18,14,19,34
"Austin Reaves","LAL",61,1418,110,271,59,51,49,8,2,19,32
"Furkan Korkmaz","PHI",67,1414,127,311,70,57,47,16,7,21,36
"Avery Bradley","LAL",62,1406,47,111,30,17,23,3,4,5,12
"Anthony Davis","LAL",40,1404,122,309,57,65,44,3,10,14,51
"R.J. Hampton","ORL",64,1402,158,409,65,93,45,12,8,24,69
"Otto Porter Jr.","GSW",63,1401,94,241,41,53,28,7,6,14,39
"Jaxson Hayes","NOP",70,1398,43,101,28,15,12,13,3,3,12
"Caleb Martin","MIA",60,1372,64,165,27,37,17,8,2,13,24
"Raul Neto","WAS",70,1372,217,519,132,85,82,33,17,26,59
"Tre Mann","OKC",60,1367,91,216,57,34,30,25,2,6,28
"Eric Bledsoe","LAC",54,1361,225,550,125,100,68,38,19,28,72
"Danny Green","PHI",62,1353,64,154,38,26,23,7,8,11,15
"Ziaire Williams","MEM",62,1346,65,156,39,26,23,15,1,9,17
"Josh Christopher","HOU",74,1334,150,361,89,61,77,11,1,3,58
"Draymond Green","GSW",46,1329,320,778,182,138,121,40,21,30,108
"Bones Hyland","DEN",69,1310,191,463,110,81,78,21,11,32,49
"Jalen Suggs","ORL",48,1307,209,518,109,100,75,27,7,24,76
"John Konchar","MEM",72,1292,109,266,61,48,34,19,8,16,32
"Bryn Forbes","DEN",75,1286,75,183,42,33,26,12,4,15,18
"Ben McLemore","POR",64,1285,59,146,31,28,23,8,0,10,18
"Chimezie Metu","SAC",60,1279,60,146,34,26,25,6,3,9,17
"Cameron Payne","PHX",58,1278,282,682,164,118,80,62,22,41,77
"Hamidou Diallo","DET",58,1269,73,184,35,38,20,7,8,15,23
"Damion Lee","GSW",63,1256,63,160,29,34,24,3,2,7,27
"George Hill","MIL",54,1253,120,297,63,57,31,18,14,15,42
"Brandon Clarke","MEM",64,1246,86,206,52,34,31,15,6,5,29
"Tim Hardaway Jr.","DAL",42,1245,92,220,56,36,40,11,5,11,25
"Drew Eubanks","POR",71,1245,85,210,45,40,24,13,8,8,32
"Gary Payton II","GSW",71,1242,64,157,35,29,24,6,5,6,23
"Myles Turner","IND",42,1235,44,107,25,19,16,5,4,7,12
"Aleksej Pokusevski","OKC",61,1233,131,322,71,60,42,22,7,15,45
"Obi Toppin","NYK",72,1230,77,203,28,49,17,9,2,15,34
"Doug McDermott","SAS",51,1223,64,150,42,22,23,16,3,11,11
"Isaiah Hartenstein","LAC",68,1216,160,376,104,56,71,13,20,15,41
"Naz Reid","MIN",77,1215,71,178,35,36,20,12,3,9,27
"Lonzo Ball","CHI",35,1212,178,408,126,52,93,23,10,19,33
"Aaron Wiggins","OKC",50,1209,68,161,43,25,32,9,2,6,19
"Malcolm Brogdon","IND",36,1206,212,514,122,90,84,19,19,37,53
"James Johnson","BKN",62,1191,130,318,72,58,41,16,15,17,41
"Jordan Nwora","MIL",62,1185,59,149,28,31,21,2,5,10,21
"Jonathan Kuminga","GSW",70,1185,64,156,36,28,23,8,5,5,23
"Facundo Campazzo","DEN",65,1184,220,543,117,103,70,39,8,30,73
"Shake Milton","PHI",55,1179,139,332,85,54,51,25,9,15,39
"Taurean Prince","MIN",69,1177,68,164,40,28,30,8,2,9,19
"Cam Thomas","BKN",67,1176,78,177,57,21,34,13,10,7,14
"CJ Elleby","POR",58,1174,87,200,61,26,45,13,3,6,20
"JaVale McGee","PHX",74,1172,42,95,31,11,14,14,3,0,11
"Frank Jackson","DET",53,1164,55,138,27,28,17,6,4,10,18
"Hassan Whiteside","UTA",65,1162,26,66,12,14,11,1,0,3,11
"Tre Jones","SAS",69,1148,233,572,127,106,76,39,12,20,86
"Alex Caruso","CHI",41,1147,165,383,112,53,82,16,14,18,35
"Marvin Bagley III","DET",48,1146,36,95,13,23,10,2,1,9,14
"Nemanja Bjelica","GSW",71,1143,159,381,96,63,67,23,6,16,47
"Ish Smith","WAS",65,1126,244,581,151,93,106,31,14,28,65
"Joe Ingles","UTA",45,1122,158,383,91,67,67,20,4,31,36
"Garrett Temple","NOP",59,1098,74,175,47,27,31,16,0,11,16
"Stanley Johnson","LAL",48,1094,80,195,45,35,36,4,5,11,24
"Kyrie Irving","BKN",29,1091,167,395,106,61,58,27,21,23,38
"Nassir Little","POR",42,1088,54,147,15,39,8,4,3,12,27
"Jeremiah Robinson-Earl","OKC",49,1087,49,129,18,31,12,5,1,11,20
"JaMychal Green","DEN",67,1085,59,148,29,30,15,8,6,4,26
"Paul George","LAC",31,1077,176,430,98,78,73,21,4,27,51
"Richaun Holmes","SAC",45,1074,48,118,26,22,14,6,6,1,21
"Kenrich Williams","OKC",49,1072,108,257,67,41,41,21,5,12,29
"Dewayne Dedmon","MIA",67,1065,47,114,27,20,14,7,6,7,13
"Damian Lillard","POR",29,1056,212,505,131,81,101,24,6,32,49
"Troy Brown Jr.","CHI",66,1055,66,160,38,28,24,7,7,8,20
"LaMarcus Aldridge","BKN",47,1050,42,110,16,26,9,4,3,6,20
"Larry Nance Jr.","NOP",46,1040,81,208,35,46,21,6,8,11,35
"Josh Green","DAL",67,1039,79,194,43,36,34,5,4,14,22
"Rudy Gay","UTA",55,1038,56,140,28,28,21,7,0,12,16
"DeAndre' Bembry","MIL",56,1026,66,157,41,25,22,9,10,9,16
"Aaron Holiday","PHX",63,1021,153,370,89,64,58,21,10,19,45
"Damian Jones","SAC",56,1017,69,167,40,29,24,12,4,10,19
"Lamar Stevens","CLE",63,1015,44,115,17,27,14,2,1,8,19
"Cam Reddish","NYK",49,1012,48,115,29,19,20,9,0,2,17
"Donte DiVincenzo","SAC",42,1005,118,269,85,33,67,16,2,13,20
"Wesley Matthews","MIL",49,1002,36,85,23,13,13,9,1,3,10
"Payton Pritchard","BOS",71,1001,139,353,64,75,47,9,8,26,49
"Juan Toscano-Anderson","GSW",73,994,127,320,61,66,43,12,6,25,41
"Onyeka Okongwu","ATL",48,992,53,133,26,27,13,9,4,6,21
"Khem Birch","TOR",55,991,56,139,29,27,11,7,11,9,18
"Kessler Edwards","BKN",48,987,31,80,13,18,3,2,8,7,11
"Dean Wade","CLE",51,980,52,131,25,27,17,5,3,11,16
"Daniel Theis","BOS",47,977,41,105,18,23,13,4,1,4,19
"Jaylen Nowell","MIN",62,975,130,313,77,53,48,24,5,19,34
"Nic Claxton","BKN",47,974,43,104,25,18,11,5,9,3,15
"Dwight Howard","LAL",60,971,35,80,25,10,11,8,6,1,9
"Ricky Rubio","CLE",34,970,225,527,148,77,106,28,14,15,62
"Duane Washington Jr.","IND",48,968,85,191,64,21,54,7,3,5,16
"Joshua Primo","SAS",50,965,81,187,56,25,34,18,4,12,13
"Moritz Wagner","ORL",63,960,87,222,39,48,20,13,6,14,34
"Blake Griffin","BKN",56,958,105,253,62,43,24,16,22,12,31
"Keita Bates-Diop","SAS",59,956,41,99,24,17,11,10,3,8,9
"Isaiah Roby","OKC",45,948,71,175,38,33,20,15,3,7,26
"Kemba Walker","NYK",37,948,131,327,66,65,43,12,11,14,51
"Taj Gibson","NYK",52,946,32,84,12,20,7,3,2,6,14
"Rui Hachimura","WAS",42,943,48,125,19,29,10,5,4,8,21
"Klay Thompson","GSW",32,941,88,210,54,34,26,20,8,16,18
"Jeremy Lamb","SAC",56,935,81,190,53,28,36,15,2,8,20
"Jalen Smith","IND",51,924,24,53,19,5,5,10,4,1,4
"Theo Maledon","OKC",51,908,111,279,54,57,30,21,3,14,43
"Tomas Satoransky","WAS",55,906,184,440,112,72,74,24,14,23,49
"Jevon Carter","MIL",66,905,96,226,62,34,30,19,13,9,25
"Jordan McLaughlin","MIN",62,902,180,451,89,91,72,14,3,40,51
"Derrick Jones Jr.","CHI",51,899,30,75,15,15,5,3,7,3,12
"Tristan Thompson","CHI",57,896,34,82,20,14,10,4,6,2,12
"Jalen McDaniels","CHA",55,895,58,142,32,26,23,7,2,6,20
"Dillon Brooks","MEM",32,885,88,199,65,23,38,25,2,5,18
"D.J. Augustin","LAL",55,883,107,265,56,51,39,14,3,9,42
"Serge Ibaka","MIL",54,878,49,116,31,18,17,8,6,1,17
"Trendon Watford","POR",48,869,81,200,43,38,31,7,5,10,28
"Trey Murphy III","NOP",62,864,38,94,20,18,13,4,3,3,15
"Maurice Harkless","SAC",47,863,23,54,15,8,10,3,2,4,4
"Thaddeus Young","TOR",52,845,104,246,66,38,45,11,10,7,31
"Armoni Brooks","TOR",54,844,62,149,37,25,27,8,2,6,19
"Willy Hernangomez","NOP",49,839,63,144,45,18,20,14,11,2,16
"Jose Alvarado","NOP",54,834,152,354,102,50,71,23,8,23,27
"Josh Jackson","SAC",51,830,54,127,35,19,30,5,0,6,13
"Tony Snell","NOP",53,822,28,70,14,14,8,5,1,3,11
"Lance Stephenson","IND",46,814,165,398,97,68,71,22,4,27,41
"Wayne Ellington","LAL",43,810,30,73,17,13,15,1,1,4,9
"Davis Bertans","DAL",56,806,31,75,18,13,12,1,5,5,8
"Ty Jerome","OKC",48,801,109,276,51,58,29,15,7,20,38
"Lou Williams","ATL",56,799,105,251,64,41,45,12,7,11,30
"Quentin Grimes","NYK",46,786,44,108,24,20,16,3,5,9,11
"Justise Winslow","POR",48,775,84,200,52,32,36,14,2,11,21
"Romeo Langford","SAS",48,771,21,53,10,11,8,1,1,6,5
"Trent Forrest","UTA",60,765,106,262,56,50,35,18,3,21,29
"Kelly Olynyk","DET",40,764,111,268,65,46,51,10,4,16,30
"Brandon Boston Jr.","LAC",51,760,51,120,33,18,20,12,1,2,16
"Rodney McGruder","DET",51,754,48,117,27,21,22,4,1,6,15
"Eric Paschall","UTA",58,736,36,94,14,22,10,3,1,5,17
"Naji Marshall","NOP",55,735,62,144,42,20,29,10,3,8,12
"Goga Bitadze","IND",50,729,55,132,33,22,25,4,4,5,17
"Danuel House Jr.","UTA",42,727,44,106,26,18,14,11,1,5,13
"DeMarcus Cousins","DEN",48,717,71,179,34,37,26,4,4,18,19
"Svi Mykhailiuk","TOR",56,716,45,110,25,20,17,5,3,8,12
"Terry Taylor","IND",33,714,41,104,19,22,14,2,3,7,15
"Rodney Hood","LAC",52,709,38,96,18,20,14,3,1,4,16
"Omer Yurtseven","MIA",56,706,49,121,26,23,21,2,3,6,17
"Xavier Tillman","MEM",53,701,62,147,39,23,18,12,9,4,19
"Rajon Rondo","CLE",39,698,170,403,107,63,74,24,9,9,54
"Zeke Nnaji","DEN",41,698,17,45,6,11,3,2,1,3,8
"Keon Johnson","POR",37,696,76,178,50,26,30,13,7,5,21
"Dalano Banton","TOR",64,696,99,240,57,42,39,11,7,19,23
"Vit Krejci","OKC",30,690,57,140,31,26,14,14,3,7,19
"Timothe Luwawu-Cabarrot","ATL",52,685,40,99,21,19,10,8,3,10,9
"Frank Ntilikina","DAL",58,685,69,160,47,22,29,13,5,7,15
"Davon Reed","DEN",48,668,53,134,25,28,14,7,4,7,21
"Derrick Favors","OKC",39,653,25,64,11,14,5,2,4,3,11
"T.J. McConnell","IND",27,652,131,322,71,60,54,12,5,23,37
"Greg Brown III","POR",48,640,35,84,21,14,14,4,3,3,11
"Brandon Williams","POR",24,640,94,224,58,36,37,19,2,9,27
"Dennis Smith Jr.","POR",37,638,132,324,72,60,39,23,10,20,40
"Derrick Rose","NYK",26,636,103,245,64,39,53,6,5,11,28
"Sterling Brown","DAL",49,628,34,83,19,15,14,3,2,8,7
"DeAndre Jordan","PHI",48,622,21,52,11,10,7,1,3,0,10
"Alex Len","SAC",39,620,45,118,17,28,8,8,1,9,19
"Robin Lopez","ORL",36,612,54,127,35,19,23,7,5,4,15
"Isaiah Joe","PHI",55,609,35,85,20,15,12,6,2,3,12
"David Nwaba","HOU",46,609,35,83,22,13,21,1,0,3,10
"Moses Moody","GSW",52,607,23,56,13,10,7,4,2,1,9
"Saben Lee","DET",37,604,107,259,62,45,39,17,6,13,32
"Andre Iguodala","GSW",31,603,114,275,67,47,40,24,3,7,40
"Mike Muscala","OKC",43,592,22,55,11,11,5,5,1,1,10
"Jock Landale","SAS",54,589,45,111,24,21,10,9,5,7,14
"Aaron Nesmith","BOS",52,574,22,53,13,9,11,2,0,4,5
"Keifer Sykes","IND",32,566,62,155,31,31,17,11,3,7,24
"Nerlens Noel","NYK",25,562,23,53,16,7,14,1,1,2,5
"Jericho Sims","NYK",41,555,21,58,5,16,3,1,1,4,12
"Elfrid Payton","PHX",50,549,99,230,67,32,35,25,7,6,26
"Tony Bradley","CHI",55,549,27,66,15,12,4,5,6,5,7
"Kent Bazemore","LAL",39,545,34,82,20,14,17,1,2,2,12
"Isaiah Jackson","IND",36,541,10,24,6,4,5,0,1,0,4
"Malachi Flynn","TOR",44,537,70,174,36,34,24,10,2,17,17
"Terence Davis","SAC",30,536,40,92,28,12,17,9,2,5,7
"Ignas Brazdeikis","ORL",42,536,37,93,18,19,14,3,1,9,10
"Josh Okogie","MIN",49,516,25,61,14,11,12,2,0,2,9
"Bismack Biyombo","PHX",36,506,23,55,14,9,3,6,5,4,5
"Zach Collins","SAS",28,502,61,134,49,12,31,11,7,1,11
"Brandon Goodwin","CLE",36,502,91,220,53,38,38,9,6,8,30
"Goran Dragic","BKN",21,497,86,202,56,30,33,17,6,9,21
"Thanasis Antetokounmpo","MIL",48,473,22,53,13,9,10,2,1,2,7
