"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Admiral Schofield","ORL",37,451,31,79,14,17,5,7,2,1,16
"TyTy Washington Jr.","HOU",31,433,47,106,35,12,25,8,2,1,11
"Dewayne Dedmon","PHI",38,426,26,62,16,10,11,3,2,1,9
"Orlando Robinson","MIA",31,425,25,63,12,13,8,4,0,3,10
"Johnny Davis","WAS",28,423,28,67,17,11,11,6,0,1,10
"Keon Johnson","POR",40,416,59,144,33,26,25,6,2,5,21
"Jake LaRavia","MEM",35,414,21,51,12,9,10,2,0,2,7
"Dominick Barlow","SAS",28,408,24,59,13,11,10,2,1,2,9
"Bruno Fernando","ATL",39,405,31,77,16,15,11,3,2,2,13
"Cade Cunningham","DET",12,400,72,176,40,32,26,12,2,10,22
"Ish Smith","DEN",43,398,100,241,59,41,43,10,6,19,22
"Duane Washington Jr.","PHX",31,394,63,147,42,21,24,15,3,7,14
"Kessler Edwards","SAC",35,386,23,60,9,14,7,2,0,7,7
"Saben Lee","PHX",25,374,67,155,46,21,22,18,6,8,13
"Gary Payton II","GSW",22,368,30,77,13,17,7,6,0,4,13
"Udoka Azubuike","UTA",36,359,11,24,9,2,5,1,3,1,1
"Gorgui Dieng","SAS",31,358,53,126,33,20,17,11,5,3,17
"Markieff Morris","DAL",35,355,31,68,25,6,13,6,6,1,5
"JaVale McGee","DAL",42,355,11,25,8,3,7,1,0,0,3
"Furkan Korkmaz","PHI",37,353,22,53,13,9,9,4,0,4,5
"Richaun Holmes","SAC",42,348,9,23,4,5,4,0,0,0,5
"AJ Green","MIL",35,345,22,57,9,13,2,4,3,2,11
"Davon Reed","LAL",43,342,23,56,13,10,9,1,3,4,6
"Jae Crowder","MIL",18,340,27,64,17,10,7,6,4,6,4
"Derrick Rose","NYK",27,338,46,106,32,14,22,8,2,4,10
"McKinley Wright IV","DAL",27,335,58,151,23,35,12,6,5,5,30
"Theo Pinson","DAL",40,323,46,115,23,23,16,6,1,9,14
"Julian Champagnie","SAS",17,320,10,24,6,4,6,0,0,1,3
"Matt Ryan","MIN",34,310,16,35,13,3,7,1,5,1,2
"Robin Lopez","CLE",37,299,19,50,7,12,6,0,1,1,11
"Moses Brown","BKN",36,294,4,9,3,1,1,0,2,0,1
"Nathan Knight","MIN",38,291,13,34,5,8,4,1,0,3,5
"Kennedy Chandler","MEM",36,281,58,128,46,12,28,17,1,6,6
"Dalano Banton","TOR",31,279,36,85,23,13,15,6,2,4,9
"Trent Forrest","ATL",23,277,38,92,22,16,10,5,7,4,12
"Bryn Forbes","MIN",25,268,17,42,9,8,7,1,1,0,8
"Terry Taylor","CHI",31,263,10,28,2,8,2,0,0,1,7
"Jeff Dowtin Jr.","TOR",25,259,31,70,23,8,11,11,1,5,3
"Brandon Boston Jr.","LAC",22,248,20,46,14,6,7,4,3,4,2
"KZ Okpala","SAC",35,248,13,31,8,5,4,4,0,0,5
"Luka Garza","MIN",28,243,18,43,11,7,7,2,2,2,5
"Jamal Cain","MIA",18,240,12,32,4,8,2,2,0,0,8
"Frank Kaminsky","HOU",36,235,32,75,21,11,11,9,1,3,8
"Kira Lewis Jr.","NOP",25,235,23,54,15,8,9,5,1,2,6
"Johnny Juzang","UTA",18,232,8,18,6,2,1,5,0,0,2
"David Duke Jr.","BKN",23,228,21,55,8,13,8,0,0,8,5
"Patrick Baldwin Jr.","GSW",31,226,11,27,6,5,3,3,0,3,2
"John Butler Jr.","POR",19,221,11,25,8,3,4,1,3,1,2
"Cody Zeller","MIA",15,217,10,26,4,6,1,2,1,0,6
"Dalen Terry","CHI",38,214,22,58,8,14,5,1,2,5,9
"Matthew Dellavedova","SAC",32,213,41,98,25,16,16,9,0,5,11
"Thanasis Antetokounmpo","MIL",37,206,15,39,6,9,4,2,0,1,8
"Nikola Jovic","MIA",15,204,10,25,5,5,2,1,2,0,5
"Jared Rhoden","DET",14,198,4,9,3,1,2,1,0,0,1
"Moussa Diabate","LAC",22,195,4,8,4,0,3,0,1,0,0
"Nerlens Noel","BKN",17,195,10,23,7,3,3,2,2,0,3
"Skylar Mays","POR",6,189,50,116,34,16,24,8,2,4,12
"Peyton Watson","DEN",23,186,11,23,10,1,8,1,1,0,1
"Serge Ibaka","MIL",16,185,4,10,2,2,0,1,1,0,2
"Kenneth Lofton Jr.","MEM",24,176,20,51,9,11,9,0,0,1,10
"Mamadi Diakite","CLE",22,176,8,19,5,3,2,3,0,2,1
"Ryan Arcidiacono","POR",20,172,23,53,16,7,10,4,2,0,7
"Noah Vonleh","BOS",23,172,7,20,1,6,1,0,0,3,3
"Boban Marjanovic","HOU",31,171,9,20,7,2,6,1,0,0,2
"Vit Krejci","ATL",29,165,17,42,9,8,6,2,1,2,6
"James Johnson","IND",18,162,15,39,6,9,3,3,0,2,7
"Khem Birch","TOR",20,162,7,18,3,4,2,0,1,3,1
"Garrett Temple","NOP",25,162,13,29,10,3,9,1,0,1,2
"Alex Len","SAC",26,161,12,31,5,7,3,1,1,2,5
"Luka Samanic","UTA",7,161,15,33,12,3,11,0,1,1,2
"Dru Smith","BKN",15,158,22,51,15,7,9,4,2,1,6
"Wendell Moore Jr.","MIN",29,153,18,45,9,9,6,2,1,5,4
"Otto Porter Jr.","TOR",8,146,8,18,6,2,3,2,1,0,2
"Kemba Walker","DAL",9,144,19,48,9,10,7,1,1,1,9
"Danny Green","CLE",11,139,6,16,2,4,2,0,0,0,4
"Jarrett Culver","ATL",10,137,6,15,3,3,1,1,1,1,2
"Quenton Jackson","WAS",9,135,15,37,8,7,5,2,1,1,6
"Cody Martin","CHA",7,134,11,28,5,6,3,2,0,2,4
"Jeenathan Williams","POR",5,127,10,23,7,3,5,1,1,0,3
"Xavier Cooks","WAS",10,126,6,15,3,3,2,1,0,1,2
"Jonathan Isaac","ORL",11,124,6,15,3,3,3,0,0,1,2
"Jason Preston","LAC",14,124,27,61,20,7,15,4,1,3,4
"Shaquille Harrison","POR",5,120,30,76,14,16,10,3,1,2,14
"Meyers Leonard","MIL",9,114,1,2,1,0,0,0,1,0,0
"Olivier Sarr","OKC",9,114,4,9,3,1,2,1,0,0,1
"Andre Iguodala","GSW",8,113,19,47,10,9,6,3,1,2,7
"Daniel Theis","IND",7,109,9,23,4,5,1,2,1,1,4
"A.J. Lawson","DAL",15,108,2,5,1,1,1,0,0,1,0
"Justin Jackson","BOS",23,107,9,21,6,3,6,0,0,0,3
"Vince Williams Jr.","MEM",15,105,4,10,2,2,2,0,0,1,1
"Josh Minott","MIN",15,96,5,11,4,1,3,1,0,0,1
"Jay Huff","WAS",7,95,10,26,4,6,1,1,2,2,4
"Joshua Primo","SAS",4,93,18,45,9,9,8,1,0,2,7
"Greg Brown III","POR",16,93,3,7,2,1,2,0,0,0,1
"Buddy Boeheim","DET",10,90,4,11,1,3,1,0,0,2,1
"Jaden Springer","PHI",16,89,8,19,5,3,5,0,0,0,3
"Justin Minaya","POR",4,89,4,10,2,2,0,2,0,0,2
"Lindell Wigginton","MIL",7,87,14,33,9,5,6,3,0,0,5
"Isaiah Mobley","CLE",12,84,3,8,1,2,0,0,1,0,2
"Omer Yurtseven","MIA",9,83,2,4,2,0,0,1,1,0,0
"Jordan Hall","SAS",9,83,11,28,5,6,4,1,0,1,5
"PJ Dozier","SAC",16,79,10,23,7,3,3,3,1,1,2
"Jared Butler","OKC",6,77,8,20,4,4,2,2,0,2,2
"Udonis Haslem","MIA",7,72,0,0,0,0,0,0,0,0,0
"Keon Ellis","SAC",16,71,6,14,4,2,2,2,0,1,1
"Jamaree Bouyea","WAS",5,71,4,8,4,0,0,4,0,0,0
"Trevelin Queen","IND",7,70,6,14,4,2,4,0,0,0,2
"Leandro Bolmaro","UTA",14,68,7,17,4,3,3,0,1,1,2
"Jack White","DEN",17,66,4,9,3,1,2,0,1,0,1
"JD Davison","BOS",12,66,11,25,8,3,7,1,0,0,3
"Tyrese Martin","ATL",16,66,2,5,1,1,1,0,0,0,1
"Ryan Rollins","GSW",12,62,6,14,4,2,1,2,1,1,1
"Isaiah Todd","WAS",6,61,4,11,1,3,1,0,0,1,2
"Sam Merrill","CLE",5,59,5,13,2,3,1,1,0,2,1
"Carlik Jones","CHI",7,56,6,13,5,1,5,0,0,1,0
"Gabe York","IND",3,56,5,13,2,3,2,0,0,0,3
"Devon Dotson","WAS",6,53,8,20,4,4,3,1,0,0,4
"Micah Potter","UTA",7,52,4,9,3,1,2,1,0,0,1
"Facundo Campazzo","DAL",8,52,9,23,4,5,3,1,0,1,4
"Joe Wieskamp","TOR",9,50,3,7,2,1,2,0,0,0,1
"Xavier Sneed","CHA",4,48,5,11,4,1,1,2,1,0,1
"Kendall Brown","IND",6,40,3,8,1,2,0,0,1,0,2
