"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Tim Hardaway Jr.","DAL",42,1245,36,111.69042769857434,110.3588907014682,561,0.20207253886010362,0.34782608695652173,0.28205128205128205,0.15789473684210525,6,5,1,3,2,0,0,1,4,0.6666666666666666,38,14,24,0
"Drew Eubanks","POR",71,1245,-330,106.06060606060606,118.81382560879811,418,0.3888888888888889,0.27586206896551724,0.1774193548387097,0,40,39,1,24,15,0,0,1,20,0.5,31,14,17,2
"Gary Payton II","GSW",71,1242,195,114.71531676022454,105.04334121355399,429,0.2,0.45454545454545453,0.35,0,22,19,3,7,12,0,3,0,10,0.45454545454545453,96,37,59,0
"Myles Turner","IND",42,1235,-14,111.9057293783015,112.33766233766234,448,0.1885245901639344,0.3103448275862069,0.35294117647058826,0.4,118,117,1,73,43,1,0,1,73,0.6186440677966102,28,10,18,10
"Aleksej Pokusevski","OKC",61,1233,-44,106.41330166270784,109.28,389,0.15,0.45,0.3582089552238806,0.23809523809523808,38,34,4,17,16,1,0,4,21,0.5526315789473685,39,12,27,3
"Obi Toppin","NYK",72,1230,165,114.20313790255987,107.08110333470565,549,0.1724137931034483,0.3333333333333333,0.19230769230769232,0.14285714285714285,33,25,8,13,11,1,2,6,10,0.30303030303030304,25,5,20,2
"Doug McDermott","SAS",51,1223,-38,114.36356558972362,117.48914330833006,518,0.24324324324324326,0.375,0.3829787234042553,0.13333333333333333,6,6,0,4,2,0,0,0,3,0.5,13,3,10,0
"Isaiah Hartenstein","LAC",68,1216,168,115.0342603788795,107.95819935691318,462,0.06666666666666667,0.32727272727272727,0.23809523809523808,1,77,75,2,42,32,1,0,2,48,0.6233766233766234,50,12,38,2
"Naz Reid","MIN",77,1215,-92,108.1472777124951,111.794670846395,502,0.16666666666666666,0.33766233766233766,0.3157894736842105,0,71,69,2,37,32,0,2,0,35,0.49295774647887325,40,18,22,2
"Lonzo Ball","CHI",35,1212,81,112.07243460764587,109.20840064620354,399,0.16216216216216217,0.36,0.4444444444444444,0.1111111111111111,31,29,2,19,9,1,1,1,12,0.3870967741935484,64,22,42,0
"Aaron Wiggins","OKC",50,1209,-235,107.43134087237479,114.97220015885624,357,0.17894736842105263,0.3333333333333333,0.29545454545454547,0,10,10,0,4,6,0,0,0,6,0.6,30,6,24,2
"Malcolm Brogdon","IND",36,1206,0,113.05063812268423,113.56492969396196,639,0.2222222222222222,0.4074074074074074,0.5,0.3,14,10,4,7,2,1,1,3,11,0.7857142857142857,30,7,23,0
